District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wong Tai Sin,"Kai Fai House, Choi Wan (II) Estate",,4879
Tsuen Wan,Sam Wo Building,,4880
Sha Tin,Sheung Keng Hau Tsuen,,4881
Tsuen Wan,"Low Block, Shek Lan House, Shek Wai Kok Estate",,4882
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",,4884
Kwun Tong,"Cheung Pak House, Hong Pak Court",,4885
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",,4886
Sai Kung,"Tower 5A, Phase 4B, Wings At Sea II, Lohas Park",,4887
Sha Tin,"Sun Fong House, Sun Chui Estate",,4888
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",,4889
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",,4890
Sha Tin,"Wai Sam House, Lung Hang Estate",,4892
Tuen Mun,"Mei Tai House, Fu Tai Estate",,4893
Tuen Mun,"High Block, Ting Hong House, On Ting Estate",,4894
Tsuen Wan,"Silka Far East, Hong Kong",,4895
Wan Chai,"The Charterhouse, Causewaybay Hong Kong",,4896
Sha Tin,"Sun Fong House, Sun Chui Estate",,4897
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",,4898
Sha Tin,"Wai Sam House, Lung Hang Estate",,4899
Tuen Mun,"King Lai House, Shan King Estate",,4901
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",,4910
Yau Tsim Mong,15 Temple Street,,4912
Yuen Long,"Tsz Ping House, Tin Tsz Estate",,4914
Yau Tsim Mong,15 Temple Street,,4918
Sai Kung,"Block 5, Hong Sing Garden",,4922
Kwai Tsing,Dorsett Tsuen Wan,,4923
Sham Shui Po,"Tower 5, Phase 3, Banyan Garden",,4924
Yau Tsim Mong,199 Tung Choi Street,,4926
Kowloon City,Hung Hom Municipal Services Building (non-residential),14/08/2020,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165, 4595"
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),14/08/2020,"1848, 2181, 2468, 2522, 2559, 4196, 4341, 4461"
Kwun Tong,Millennium City 3 (non-residential),14/08/2020,"2396, 2434, 2535, 2635, 2720, 2742, 2811, 2822, 2854, 2894, 2927, 2953, 2982, 3231, 3405, 4158, 4468"
Tsuen Wan,OP Mall (non-residential),14/08/2020,"2529, 2690, 4495"
Kwun Tong,Tsui Ping (North) Shopping Circuit (non-residential),14/08/2020,"2807, 2833, 3055, 4148, 4372"
Wan Chai,Haven Court (non-residential),14/08/2020,"3664, 4199, 4401"
North,Metropolis Plaza (non-residential),14/08/2020,"3975, 4494"
Kwun Tong,1 Hung To Road No. 1 Hung To Canteen (non-residential),14/08/2020,"4186, 4387"
Kowloon City,Foka Building 東門冰室 (non-residential),14/08/2020,"4549, 4550"
Tuen Mun,San Hui Market (non-residential),15/08/2020,"1471, 1561, 1907, 1931, 2154, 2381, 2458, 2493, 2598, 2691, 2889, 3386, 3395, 3742, 4446"
Yuen Long,Tai Kiu Market (non-residential),15/08/2020,"1471, 1561, 2286, 2995, 3460, 3480, 3966, 4034, 4337, 4521"
North,Luen Wo Hui Municipal Services Building (non-residential),15/08/2020,"1568, 2167, 2357, 2770, 2991, 4638"
North,Shek Wu Hui Municipal Services Building (non-residential),15/08/2020,"1947, 1989, 2053, 2072, 2179, 2284, 2393, 2576, 2912, 2913, 3207, 3536, 3948, 4003, 4027, 4105, 4143, 4423"
Tuen Mun,Yan Tin Market (non-residential),15/08/2020,"3803, 4577"
Kwai Tsing,Kwai Chung Plaza Café de Coral (non-residential),15/08/2020,"3871, 4416, 4417"
Tsuen Wan,Indi home (non-residential),15/08/2020,"4413, 4540"
Tuen Mun,Chelsea Heights (non-residential),16/08/2020,"2177, 2598, 4448"
Central & Western,Melbourne Plaza (non-residential),16/08/2020,"2485, 2529, 4338"
Sha Tin,Tai Wai Market (non-residential),16/08/2020,"2583, 2693, 2816, 3033, 4505"
Kwai Tsing,Metroplaza (non-residential),16/08/2020,"3521, 4164, 4175, 4338"
Tai Po,Fu Heng Shopping Centre (non-residential),16/08/2020,"4573, 4644"
Yau Tsim Mong,The Royal Garden (non-residential),16/08/2020,"4614, 4616"
Wong Tai Sin,Plaza Hollywood (non-residential),17/08/2020,"1665, 1845, 2024, 2139, 3235, 3379, 3745, 4553"
Tai Po,Tai Po Complex (non-residential),17/08/2020,"1942, 1999, 2120, 2339, 2991, 3490, 4106, 4644"
Yau Tsim Mong,Royal Plaza Hotel (non-residential),17/08/2020,"2099, 3711, 3712, 4596"
Kwun Tong,Sau Mau Ping Shopping Centre Café de Coral (non-residential),17/08/2020,"2440, 2449, 4608"
Yuen Long,Long Ping Commercial Centre (non-residential),17/08/2020,"3967, 4337, 4555"
Eastern,Aldrich Garden Shopping Centre (non-residential),17/08/2020,"4437, 4672"
Sham Shui Po,Un Chau Shopping Centre (non-residential),17/08/2020,"4498, 4586"
Tuen Mun,"Yuet Tin House, Yan Tin Estate 安泰燒臘餐廳 (non-residential)",17/08/2020,"4517, 4548"
Yau Tsim Mong,Sun Ming Building (non-residential),17/08/2020,"4607, 4661"
Sham Shui Po,Cheung Sha Wan Government Offices (non-residential),18/08/2020,"1501, 1890, 2128, 4433, 4703"
Sham Shui Po,Shek Kip Mei Commercial Centre (non-residential),18/08/2020,"1813, 1881, 1927, 2067, 2418, 2688, 3038, 3621, 3862, 4309, 4605"
Sai Kung,Beverly Garden Shopping Centre (non-residential),18/08/2020,"2066, 2537, 4571"
Eastern,Sai Wan Ho Municipal Services Building (non-residential),18/08/2020,"2200, 2788, 3049, 3061, 4647"
Tsuen Wan,Shing Mun Tunnel Administration Building (non-residential),18/08/2020,"4426, 4553"
Tuen Mun,New Town Commercial Arcade (non-residential),18/08/2020,"4448, 4546"
Yau Tsim Mong,Lee Hing Building (non-residential),18/08/2020,"4582, 4600"
Kowloon City,Tak Shing Mansion (non-residential),18/08/2020,"4583, 4655"
Kwai Tsing,Kwai Chung Plaza (non-residential),19/08/2020,"1820, 1996, 2332, 2455, 2459, 2465, 2602, 3018, 3026, 3040, 3058, 4495, 4640"
Sha Tin,Mei Tin Shopping Centre (non-residential),19/08/2020,"2136, 3105, 4600"
Yau Tsim Mong,Sino Centre (non-residential),19/08/2020,"2398, 3371, 4207, 4569, 4679"
Sha Tin,New Town Plaza (non-residential),19/08/2020,"3415, 3571, 3910, 4600"
Yuen Long,Tin Yiu Plaza (non-residential),19/08/2020,"3887, 3904, 4207, 4365, 4651"
Yuen Long,Tin Shing Shopping Centre (non-residential),19/08/2020,"4059, 4651"
